English,Urdu
"Taste 1010
Good service and better quantity with good price",ذائقہ 1010 اچھی سروس اور اچھی قیمت کے ساتھ بہتر مقدار
Food is awesome,کھانا لاجواب ہے۔
and have greater difficulty making decisions,اور فیصلے کرنے میں زیادہ دشواری ہوتی ہے۔
Good but things need to be improvement,اچھی بات ہے لیکن حالات میں بہتری کی ضرورت ہے۔
one thing is certain You need to talk to your parents,ایک چیز یقینی ہے آپ کو اپنے والدین سے بات کرنے کی ضرورت ہے۔
Take a chance,ایک بار کر کے دیکھو۔
Affording charges,چارجز برداشت کرنا
Broast was awesome and service was good too,براسٹ بہت اچھا تھا اور سروس بھی اچھی تھی۔
Good for family gathering ambience and service is very good,خاندانی اجتماع، ماحول اور خدمت کے لیے بہت اچھا ہے۔
Don’t bother me,مجھے پریشان نہ کرو۔
Famous nihari hotel at very famous food area,بہت مشہور کھانے کے علاقے میں مشہور نہاری ہوٹل
Pretty good but waiting time is so long,بہت اچھا لیکن انتظار کا وقت بہت طویل ہے۔
You had a swim yesterday,آپ نے کل تیراکی کی تھی۔
Tom has a daughter named Mary,ٹام کی ایک بیٹی کا نام ہے مریم۔
If only cleanliness was maintained,اگر صرف صفائی کا خیال رکھا جاتا۔
What is that Moses thou hast in thy right hand,اور اے موسیٰؑ، یہ تیرے ہاتھ میں کیا ہے؟
Good in taste clean environment,ذائقہ صاف ماحول میں اچھا ہے
Nice ac hall  Food was average,اچھا اے سی ہال۔ کھانا اوسط تھا۔
Normal food taste,عام کھانے کا ذائقہ۔
A friend lent me this book,ایک دوست نے مجھے یہ کتاب دی تھی۔
Chicken karahi is so etching different,چکن کراہی بہت مختلف ہے
” And the young man went to the gangway,اور نوجوان گینگ وے کی طرف چلا گیا۔
Youve got to keep this secret OK,تمہیں اس کو صیغہ راز میں رکھنا ہوگا، ٹھیک ہے؟
"”

“Let us go then",پھر چلو
Good night,شب بخیر۔
He is crankyirritable,وہ چڑچڑا انسان ہے۔
Service and food is awsome,سروس اور کھانا شاندار ہے۔
Better hotel to go with family or friends,خاندان یا دوستوں کے ساتھ جانے کے لیے بہتر ہوٹل
You must forgive me if I was taken aback,اگر میں حیران رہ گیا ہوں تو آپ کو مجھے معاف کرنا چاہئے۔
Good food will not recommend for family visit and high prices,اچھا کھانا، خاندان کے دورے کے لیے سفارش نہیں کرے گا اور زیادہ قیمتیں
Been going there since childhood and absolutely love this place,بچپن سے وہاں جا رہا ہوں اور اس جگہ کو بالکل پسند کرتا ہوں۔
Waiters and staff need to be improved,ویٹروں اور عملے کو بہتر کرنے کی ضرورت ہے۔
Best for its kind,اس کی قسم کے لیے بہترین
superb bar b q,شاندار بار بی کیو
Quality and quantity both are good,معیار اور مقدار دونوں اچھے ہیں۔
Tasty food and specially their boneless karahi,لذیذ کھانے اور خاص طور پر ان کی ہڈیوں کے بغیر کراہی۔
Customers were welcomed with full care at the restaurant,ریسٹورنٹ میں گاہکوں کا پوری احتیاط کے ساتھ استقبال کیا گیا۔
Ok good place to visit with Family,فیملی کے ساتھ دیکھنے کے لیے اچھی جگہ ہے۔
Ah wonderful,بہت خوب۔
Spicy Grill food good experience,مسالیدار گرل کھانے کا اچھا تجربہ
Best nihari place in karachi,کراچی میں بہترین نہاری جگہ
They evolved a lot in taste as well as service,انہوں نے ذائقہ کے ساتھ ساتھ خدمت میں بھی بہت ترقی کی۔
One of the best kababs n bbq in town,شہر کے بہترین کباب اور بی بی کیو میں سے ایک
I found a dollar in the street,مجھے سڑک پہ ایک ڈالر گرا ہوا ملا۔
Best malai boti and kabab in KHI,KHI میں بہترین ملائی بوٹی اور کباب
Authentic barbecue taste,مستند باربی کیو ذائقہ
Mother and motherland are greater than heaven,ماں اور مادر وطن جنت سے بڑھ کر ہیں
Excellent service good food,بہترین سروس، اچھا کھانا
Can I help you,کیا میں اپ کی مدد کر سکتا ہوں؟
Its my 2nd time but it was bad,یہ میری دوسری بار ہے لیکن یہ برا تھا۔
As always it awesome Chatakh Boti and Fry Kabab,ہمیشہ کی طرح یہ لاجواب چٹاخ بوٹی اور کباب فرائی
Taste was good but service was a bit slow,ذائقہ اچھا تھا لیکن سروس تھوڑی سست تھی۔
Tasty food at reasonable prices,مناسب قیمت پر لذیذ کھانا
Food 910 taste 910 cleanliness 810 atmosphere 710,کھانا 910، ذائقہ 910، صفائی 810، ماحول 710
Love the karahi,کراہی سے پیار کریں۔
a Smoking will reduce my stress,a تمباکو نوشی میرے تناؤ کو کم کرے گی۔
Good taste  friendly environment,اچھا ذائقہ اور دوستانہ ماحول
For an instant we stood motionless looking at one another,ایک لمحے کے لیے ہم بے حرکت کھڑے ایک دوسرے کو دیکھتے رہے۔
And he swore to them both that he was their sincere adviser,721اور ان سے قسم کھا کر کہا میں تو تمہارا خیر خواہ ہوں
Place for nice food,عمدہ کھانے کی جگہ
Lottersssssss,لاٹرسسسسسسس
Best place to have sea food grilled or fried,سی فوڈ گرل یا فرائی کرنے کے لیے بہترین جگہ
Why didnt you tell me his name,آپ نے اسے کتاب کی ادائیگی نہیں کی۔
Great place must try chatak kabab thats their speciality,بہترین جگہ، چاٹک کباب ضرور آزمائیں جو ان کی خاصیت ہے۔
Dont move,حرکت نہ کرو۔
Then we will play,ہم پھر انھیلیں گے
Youre wrong in this case,اس معاملے میں آپ غلط ہے۔
Location Food quality  service all good,مقام، کھانے کا معیار اور سروس سب اچھا ہے
Thai was good khausa was below average,تھائی اچھی تھی، کھوسا اوسط سے کم تھا۔
You never agree with me,تم مجھ سے کبھی متفق نہیں ہوتے ہو۔
Bad experience about food quality and taste,کھانے کے معیار اور ذائقے کے بارے میں برا تجربہ
Give me a light said I but Sapt still leaned against the wall,مجھے روشنی دو، میں نے کہا۔ لیکن سپت پھر بھی دیوار سے ٹیک لگائے بیٹھا تھا۔
Never mind the woman growled Sapt Are you ready to start,عورت کو کوئی اعتراض نہ ہو، سپت نے کہا۔ کیا آپ شروع کرنے کے لیے تیار ہیں؟
The ambience was good but the food quality was very low,ماحول اچھا تھا لیکن کھانے کا معیار بہت کم تھا۔
A good place for Pakistani style dishes,پاکستانی طرز کے پکوان کے لیے ایک اچھی جگہ
I checked out the risks and decided that it’s not for me,میں نے خطرات کو چیک کیا اور فیصلہ کیا کہ یہ میرے لیے نہیں ہے۔
You didnt pay him for the book,آپ وہاں سے بلیک بورڈ نہیں دیکھ سکتے
Good ambience good food you certainly pay for the location,اچھا ماحول، اچھا کھانا، آپ یقینی طور پر مقام کے لیے ادائیگی کرتے ہیں۔
Surely He knows what is spoken aloud and He knows what you hide,اللہ وہ باتیں بھی جانتا ہے جو با آواز بلند کہی جاتی ہیں اور وہ بھی جو تم چھپا کر کرتے ہو
You must eat them all,آپ کو ان سب کو کھانا چاہیے۔
I have never done it before,میں نے پہلے کبھی نہیں کیا
“No—you undertook to do so,نہیں تم نے ایسا کرنے کا بیڑا اٹھایا
The police caught the thief redhanded,پولیس نے چور کو رنگے ہاتھوں پکڑا
It has been a difficult struggle,یہ ایک مشکل جدوجہد رہی ہے۔
He often thinks with his eyes shut,وہ زیادہ تر آنکھیں بند کر کے سوچتا ہے۔
Hes kind of cute,وہ تھوڑا خوبصورت ہے۔
I saw that his revolver was in his hand,میں نے دیکھا کہ اس کا ریوالور اس کے ہاتھ میں تھا۔
You hear noise,آپ شور سنتے ہیں۔
Nice place ambience is good food is okay,اچھی جگہ، ماحول اچھا ہے، کھانا ٹھیک ہے۔
Binoria Restaurant is a tremendous place,بنوریہ ریستوراں ایک زبردست جگہ ہے۔
Average taste of  food,کھانے کا اوسط ذائقہ
Everybody hates this idea,سب کو یہ خیال بُری لگتی ہے۔
Our teacher said that water boils at 100ºC,ہمارے استاد نے کیا کہ پانی ۱۰۰ ڈگری سینٹی گریڈ پہ ابلتا ہے۔
Was great,عظیم تھا
What would you like to eat,آپ کیا کھانا پسند کریںگے؟
I plan to study this afternoon after I get home,میرا پلین ہے کہ شام کو گھر جا کے میں پڑھائی کرو گا۔
Quetta wala fish shop perfect  cleanbest fish in Kaachi,کوئٹہ، والا فش شاپ پرفیکٹ کلینکاچی کی بہترین مچھلی
Serving quantity is less Taste is just bearable,سرونگ کی مقدار کم ہے، ذائقہ صرف قابل برداشت ہے۔
Your joke goes too far sir I cried,آپ کا مذاق بہت دور تک جاتا ہے جناب میں رویا
"”

“Can I believe my ears” cried the marquise",کیا میں اپنے کانوں پر یقین کر سکتا ہوں؟ مارکیز نے پکارا۔
Awesome food specially nahari is superb,لاجواب کھانا خاص طور پر نہاری شاندار ہے۔
Although there is so crowd n u have to wait but food is good,اگرچہ اتنی بھیڑ ہے تو انتظار کرنا پڑتا ہے لیکن کھانا اچھا ہے۔
Good food Good service Good environment,اچھا کھانا۔ اچھی خدمت اچھا ماحول
Dangri fish grill is thier speciality,ڈنگری فش گرل ان کی خاصیت ہے۔
I was saved by him,مجھے اس نے بچایا تھا
Very nice n hygenic food Service is not upto mark,بہت اچھا اور حفظان صحت سے متعلق کھانا۔ سروس مارک تک نہیں ہے۔
It’s red letter day today,آج سرخ حروف کا دن ہے۔
Unlatch the door,کنڈی کھول دو
ROLE MODEL Jacob LONG before you’re ready to leave home,کیا آپ اپنے گھر والوں کے ساتھ بھی ایسا ہی کریں گے؟
I have lost my way,میں راستہ بھول گیا ہوں۔
Pathetic service  Tasteless Nihari,قابل رحم خدمت  بے ذائقہ نہاری
food was good but service are not up to the standard,کھانا اچھا تھا، لیکن سروس معیار کے مطابق نہیں ہے۔
Tasty and complete variety of barbecue,باربی کیو کی مزیدار اور مکمل قسم
When schoolmates offer me alcohol,جب اسکول کے ساتھی مجھے شراب پیش کرتے ہیں۔
It was goodnice food,یہ اچھا، اچھا کھانا تھا،
Its a decent place  with good variety,یہ اچھی قسم کے ساتھ ایک مہذب جگہ ہے۔
Nice taste and environment,اچھا ذائقہ اور ماحول
A place of delicious dishes,مزیدار پکوانوں کی جگہ
Average taste of food not so much like,کھانے کا اوسط ذائقہ  اتنا زیادہ پسند نہیں۔
zaburdust,zaburdust
Sapt jumped down and laid his ear on the ground,سپت نے نیچے چھلانگ لگائی اور کان زمین پر رکھ دیا۔
Ossam dish,اوسام ڈش
Best Quality food and Good taste in Best Rate with good service,اچھی سروس کے ساتھ بہترین ریٹ میں بہترین معیار کا کھانا اور اچھا ذائقہ
The test of mutton karahi was very Delicious,مٹن کرہی کا ٹیسٹ بہت لذیذ تھا۔
Aperfect place for a family dinner,فیملی ڈنر کے لیے ایک بہترین جگہ۔
Worst food,بدترین کھانا
How much is for a day,ایک دن کا کیا کرایہ ہے؟
Good food in very high ratesquantity is Aso very low,بہت زیادہ ریٹ میں اچھا کھانا۔ مقدار آسو بہت کم ہے۔
They should start online delivery service or foodpanda service,انہیں آن لائن ڈیلیوری سروس یا فوڈ پانڈا سروس شروع کرنی چاہیے۔
Nice place for lunch in the SITE area,سائٹ ایریا میں دوپہر کے کھانے کے لیے اچھی جگہ
Who are you going with,تم کس کے ساتھ جا رہی ہو؟
Don’t put a hex on me,مجھ پر بُری نظر مت ڈالو
I have nothing to do with this,مجھے اس سے کوئی فرق نہیں پڑتا۔
Whole chicken is delicious,پورا چکن مزیدار ہوتا ہے
Food is very good along with environment,کھانا ماحول کے ساتھ ساتھ بہت اچھا ہے۔
Wait till seven,سات تک انتظار کریں۔
It was my first experience at Maliks,ملک میں یہ میرا پہلا تجربہ تھا۔
A crowded place for Sunday breakfasts,اتوار کے ناشتے کے لیے ایک پرہجوم جگہ
Go and Play,جاؤ اور کھیلو
The meal was finished by 7,کھانا 7 بجے ختم ہوا۔
Hang you he grinned I make you a King and—Well do it,تمہیں پھانسی دو وہ مسکرایا میں آپ کو بادشاہ بناتا ہوں، اور  ٹھیک ہے، یہ کرو
“Yes but first give me this letter,جی ہاں؛ لیکن پہلے مجھے یہ خط دو
Here is my card,یہ میرا کارڈ ہے
Loved the mutton karahi,مٹن کرہی بہت پسند تھی۔
Fish emitted some sort of strange gas rendering it uneatable,مچھلی نے کچھ عجیب قسم کی گیس خارج کی جو اسے ناقابلِ استعمال بناتی ہے۔
Better taste good service,بہتر ذائقہ اچھی سروس
Good Indian food but not so good fast food,اچھا ہندوستانی کھانا، لیکن اتنا اچھا فاسٹ فوڈ نہیں۔
This is much better than other restaurant on this food street,یہ اس فوڈ اسٹریٹ کے دوسرے ریستوراں سے بہت بہتر ہے۔
Delicious Grill Fish Especially Kukar Fish,مزیدار گرل مچھلی خاص کر کوکر مچھلی
Best for the price,قیمت کے لئے بہترین
Thanks for your courtesy,ہمارا معاشرہ دن بدن بگڑتا جا رہا ہے۔
Recommended for food lovers,کھانے سے محبت کرنے والوں کے لیے تجویز کردہ
No I wont promise but if I find enough material I will,نہیں، میں وعدہ نہیں کروں گا؛ لیکن اگر مجھے کافی مواد مل گیا تو میں کروں گا۔
"Good and fresh food
Their Fish Fillet Grilled was amazing",اچھا اور تازہ کھانا۔ ان کا فش فلیٹ گرلڈ حیرت انگیز تھا۔
Great taste of nihari and best for mutton kabab,نہاری کا بہترین ذائقہ اور مٹن کباب کے لیے بہترین۔
Good food Value for money,اچھا کھانا۔ روپے کی قدر
Awosome place for breakfast specially Nihari Paaye mughaz,ناشتے کے لیے بہترین جگہ، خاص طور پر نہاری، پائے، مغاز
Economical and delicious,اقتصادی اور مزیدار
My mother remarx0002ried,میری ماں نے ریمار کر دیا۔
It was there,یہ وہاں تھا۔
Good food with good service,اچھی سروس کے ساتھ اچھا کھانا
3rd best place to have nihari in town,شہر میں نہاری رکھنے کے لیے تیسری بہترین جگہ
What did you say,آپ نے کیا کہا؟
For food  lovers  bolan restaurant oldest in karachi,کھانے سے محبت کرنے والوں کے لیے بولان ریسٹورنٹ کراچی کا سب سے پرانا
Delecious Nihari,لذیذ نہاری
Good environment Excellent food,اچھا ماحول بہترین کھانا
Be seated please,تشریف رکھیے۔
Old Sapt chuckled and held out his hand,بوڑھے سپت نے قہقہہ لگایا اور اپنا ہاتھ آگے بڑھایا۔
When should I call you,مجھے آپکو کس وقت کال کرنی چاہیے
Most food wasnt available It was ok,زیادہ تر کھانا دستیاب نہیں تھا۔ یہ ٹھیک تھا
Nobody was happy about this,کوئ بھی اس بات پر خوش نہیں تھا۔
Very lash restaurant,بہت لش ریسٹورنٹ
Very good Restaurant within City Center,بہت اچھا ریستوراں، سٹی سینٹر کے اندر
Not a good invierment food qountity is very poor,ایک اچھا invierment نہیں، خوراک کی مقدار بہت غریب ہے
Lovely ambiance delicious food,خوبصورت ماحول مزیدار کھانا
Quality food I love it,معیاری کھانا مجھے یہ پسند ہے۔
"”

“Oh command and I will obey",اوہ، حکم، اور میں اطاعت کروں گا
Do you know how to use a dictionary,اپ کو لغت استعمال کرنا آتی ہے؟
It was good and service 1010,یہ اچھا تھا اور سروس 1010
Very yummy fish but too expensive,مچھلی بہت لذیذ ہے لیکن بہت مہنگی ہے۔
Always be a good opportunist,وقت کسی کا انتظارنہیں کرتا۔
Nycee,نائسی
Kolkata is a big city,کلکتہ ایک بڑا شہر ہے۔
We swim in the sea,ہم سمندر میں تیرتے ہیں۔
Do it if you are bold enough,میں تمہارے منہ پر تھپڑ ماروں گا۔
They entered into a discussion,انہوں نے گفتگو کا آغاز کیا۔
The speciality of Bombay koyla karhai is the mutton koyla karhai,بمبئی کوئلہ کرہائی کی خاصیت مٹن کوئلہ کرہائی ہے۔
How can I help you,میں آپ کی کیسے مدد کر سکتا ہوں ؟
Things are changing so fast it scares me,چیزیں اتنی تیزی سے بدل رہے ہیں کہ مجھے در ہوتا ہے۔
Good food good service cleanliness can we worked on,اچھا کھانا، اچھی سروس، صفائی پر ہم کام کر سکتے ہیں۔
Good place to enjoy BBQ with a bit diversity,تھوڑا سا تنوع کے ساتھ BBQ سے لطف اندوز ہونے کے لیے اچھی جگہ
Good place to visit,دیکھنے کے لیے اچھی جگہ
Tom leads the soccer team,ٹام فٹبال ٹیم کو لیڈ کرتا ہے۔
Im going to Europe next week,میں اگلے ہفتے یورپ جا رہا ہوں۔
Taste is good but please dont use lift  Iift is Soo dangerous,ذائقہ اچھا ہے لیکن براہ کرم لفٹ کا استعمال نہ کریں۔ Iift بہت خطرناک ہے۔
I have lost my bike,میرا موٹرسائکل کھو گیاہے۔
Think of the devil and the devil is here,اس نے منہ توڑ جواب دیا
Please don’t bother,آپ بھلا تو جگ بھلا۔
Im so tired,میں بہت تھکا ہوا ہوں
The food was really goodhighly recommended,کھانا واقعی اچھا تھا  انتہائی سفارش کی گئی تھی۔
Balochi tikka and Dumba Karahi is speciality of khyber shinwari,بلوچی تکہ اور ڈمبا کراہی خیبر شنواری کی خاصیت ہے۔
This place the bussiness,یہ کاروبار کی جگہ ہے۔
Yh5e food quality is not the same as it has been in the past,Yh5e کھانے کا معیار ماضی جیسا نہیں ہے۔
Even though Jacob has done nothing wrong,حالانکہ یعقوب نے کچھ غلط نہیں کیا۔
The peri peri chicken is mouthwatering,پیری پیری چکن منہ میں پانی بھرنے والا ہے۔
Taste is awesome good environment,ذائقہ بہت اچھا ماحول ہے
inflames airways,ایئر ویز کو سوجن
An okay place for eating out,باہر کھانے کے لیے ایک اچھی جگہ۔
Tom is poor but hes happy,ٹام غریب ہے لیکن وہ خوش ہے۔
Rolls and tikka are amazing,رول اور ٹِکا حیرت انگیز ہیں
Girls wear dresses,لڑکیاں کپڑے پہنتی ہیں۔
Please drop me here,مجھے یہاں اتا ر دیں۔
I am weighing myself,میں اپنا وزن کر رہا ہوں۔
Russian is not an easy language,روسی آسان زبان نہیں ہے۔
Who are you,تم کون ہو ؟
Like a fish striking at bait,جیسے مچھلی چارے پر مارتی ہے۔
Vgood breakfast,V اچھا ناشتہ
Food was delicious but the quantity was compromised,کھانا مزیدار تھا لیکن مقدار میں سمجھوتہ کیا گیا تھا۔
Awesome BBQ but not any handdy,بہت اچھے BBQ لیکن کوئی آسان نہیں۔
Bit disappointing,تھوڑا مایوس کن
Drug abuse can change the structure of your brain,منشیات کا استعمال آپ کے دماغ کی ساخت کو بدل سکتا ہے۔
I hate people looking at me,مجھے نفرت ہے لوگ میری طرف دیکھتے ہیں۔
Stay out of this,اس سے دور ہی رہو
Old is gold,نیا نو دن پرانا سو دن
very good in taste,ذائقہ میں بہت اچھا
Wonderful  Delicious,لاجواب اور مزیدار
Stop poking at friends and agencies,دوستوں اور ایجنسیوں پر طنز کرنا بند کریں۔
To Strelsau sire—to the coronation,اسٹریلساؤ، صاحب، تاجپوشی کے لیے۔
“Some girls smoke to stay thin,کچھ لڑکیاں پتلی رہنے کے لیے سگریٹ نوشی کرتی ہیں۔
Switch on the ceiling fan,چھت والا پنکھا چلا دو۔
What do you think might be the underlying issue,آپ کے خیال میں بنیادی مسئلہ کیا ہو سکتا ہے؟
Dont try too hard,اتنی محنت نہ کرو۔
“about 10,تقریباً 10
Ill call her immediately,میں اسے ابھی فون کرتا ہوں۔
Theyre going to watch a film this weekend,وہ اس ہفتے کے آخر میں ایک فلم دیکھنے جا رہے ہیں۔
Tasteless food in townnot even fresh,شہر میں بے ذائقہ کھانا تازہ بھی نہیں۔
So instead why not put your mom at ease,تو اس کے بجائے، کیوں نہ اپنی ماں کو آرام سے رکھیں؟
Im going to write my homework tonight,میں آج رات اپنا ہوم ورک لکھنے جا رہا ہوں۔
❣️,❣️
Verity of food but quiet Expensive in very crowded location,کھانے کی حقیقت لیکن بہت ہجوم والی جگہ پر پرسکون مہنگا
Average food but outstanding service,اوسط کھانا لیکن شاندار سروس
I hate working,مجھے کام کرنے سے نفرت ہے۔
"Good ambiance
Average food",اچھا ماحول اوسط کھانا
Its a good place where you can taste south indian dishes,یہ ایک اچھی جگہ ہے، جہاں آپ جنوبی ہندوستانی پکوان چکھ سکتے ہیں۔
Good food and cooperating staff,اچھا کھانا اور تعاون کرنے والا عملہ
Food is good water behavior is nice,کھانا اچھا ہے پانی کا برتاؤ اچھا ہے۔
Its a good place for families,یہ خاندانوں کے لیے ایک اچھی جگہ ہے۔
Tasty BBQ,مزیدار باربی کیو
People will show her the new buildings,لوگ اسے نئی عمارتیں دکھائیں گے۔
Best fish point,بہترین فش پوائنٹ
Maria what is he reading,ماریہ یہ کیا پڑھ رہی ہے؟
but ICE CREAM was way over priced,لیکن آئس کریم کی قیمت بہت زیادہ تھی۔
You should not smoke at all,آپ کو سگریٹ بلکل ترک کر دینی چاہیے۔
Best taste and quality,بہترین ذائقہ اور معیار
Very good food specialty in Nihari  Prawns,نہاری اور جھینگے میں کھانے کی بہت اچھی خاصیت
Come and see me tomorrow,کل آکر مجھ سے ملنا
Nice service wide menu and tasty dishes,اچھی سروس، وسیع مینو، اور مزیدار پکوان
Excellent service with good food,اچھے کھانے کے ساتھ بہترین سروس۔
Their Balochy Karhai is their signature dish,ان کی بلوچی کرہائی ان کی سگنیچر ڈش ہے۔
Taste better,بہتر ذائقہ
Taste less or basi khana,ذائقہ کم یا باسی کھانا
Should focused more on turn around time,باری باری وقت پر زیادہ توجہ مرکوز کرنی چاہیے۔
Best environment delicious foodfast service,بہترین ماحول، مزیدار کھانا، تیز سروس
Grilled fish is love,گرلڈ مچھلی محبت ہے۔
Reasonable food and value for money,معقول خوراک اور پیسے کی قدر
Good food and ambiance but its overpriced,اچھا کھانا اور ماحول، لیکن اس کی قیمت زیادہ ہے۔
Tom was in heaven,ٹوم فردوس میں تھا۔
And if he produced the King where was he,اور اگر اس نے بادشاہ کو پیدا کیا تو وہ کہاں تھا؟
Borrowed garments never fits well,ادھار کپڑے کبھی بھی اچھی طرح سے فٹ نہیں ہوتے ہیں۔
The wind blowing strong behind us carried the sound,ہمارے پیچھے تیز ہوا چلنے والی آواز کو لے گئی۔
Where is Centaurus,سینٹارس کہاں ہے؟
We can come tomorrow,ہم کل آ سکتے ہیں۔
Good taste but no sitting area,اچھا ذائقہ لیکن بیٹھنے کی جگہ نہیں۔
Good and nice place,اچھی اور اچھی جگہ
You never agree with me,تم مجھ سے اتفاق کبھی نہیں کرتے ہو۔
Hang on a minute,ایک منٹ رکو زرا۔
Comparatively Costly restaurant,نسبتاً مہنگا ریستوراں
The stars fought for us A little girl of fourteen tripped out,ستارے ہمارے لیے لڑے چودہ سال کی ایک چھوٹی لڑکی باہر نکل گئی۔
The name of my city is Jhelum,میرے شہر کا نام جہلم ہے۔
Amazing restaurant,حیرت انگیز ریستوراں
Awesome experience the taste was delicious,بہت اچھا تجربہ ذائقہ مزیدار تھا
Good atmosphere for outside eating,باہر کھانے کے لیے اچھا ماحول
Very nice And good service really tasty food keep it up,بہت عمدہ اور اچھی سروس واقعی مزیدار کھانا اسے جاری رکھیں۔
I waited for Tom for a long time,میں نے ٹام کا کافی دیر انتظار کیا۔
When did you call me,تم نےکب مجھے کال کی؟
And the disciples went  and did as Jesus commanded them,پس شاگِردوں نے جاکر جیسا یِسُوع نے اُن کو حُکم دِیا تھا ویسا ہی کِیا ۔
Best grilled chicken in the city,شہر کا بہترین گرلڈ چکن
nice place for Indian dishes,ہندوستانی پکوان کے لیے اچھی جگہ۔
Excellent Dosa  thali etc,بہترین ڈوسا، تھالی وغیرہ
Not he said Sapt,وہ نہیں، سپت نے کہا۔
Customer service is the main issue i faced,کسٹمر سروس وہ اہم مسئلہ ہے جس کا میں نے سامنا کیا۔
Good Taste cheap Price,اچھا ذائقہ سستی قیمت
His smile had masked his anger,اُس کی مسکراہٹ نے اُس کے غصےپر پردہ ڈال رکھا تھا
Nice place for dine in and takeaway,کھانے اور لے جانے کے لیے اچھی جگہ
Ambiance and the food is amazing,ماحول اور کھانا حیرت انگیز ہے۔
Love this place and food ausome,اس جگہ اور کھانے سے پیار کریں۔
So We would show thee some of Our greatest signs,اس لیے کہ ہم تجھے اپنی بڑی نشانیاں دکھانے والے ہیں
What do you want,آپ کیا چاہتےہیں؟
Very good taste but no proper sitting arrangements,بہت اچھا ذائقہ لیکن بیٹھنے کا کوئی مناسب انتظام نہیں
Historical the original n best,تاریخی،، اصل ن بہترین
May I leave my baggage here until Friday,کیا میں جمعہ تک اپنا اسباب یہاں چھو ڑ سکتا ہوں؟
Very nice place for family,فیملی کے لیے بہت اچھی جگہ
awsome food must try with very affordable price,awsome کھانا بہت سستی قیمت کے ساتھ ضرور آزمائیں
This is world best restaurant,یہ دنیا کا بہترین ریستوراں ہے۔
I dont know what type of people like its Nehari,مجھے نہیں معلوم کہ کس قسم کے لوگ اس کی نہاری کو پسند کرتے ہیں۔
zabardastbest nihari in whole townhygienic and tasty,zabardast پورے شہر میں بہترین نہاری حفظان صحت اور مزیدار
The court adjudged that he was guilty,عدالت نے فیصلہ دیا کہ وہ قصوروار ہے
One of the best barbeque outlets in the city,شہر کے بہترین باربی کیو آؤٹ لیٹس میں سے ایک
"Good Startuo
Superb taste",اچھا Startuo شاندار ذائقہ
We should abolish the death penalty,ہمیں سزائے موت ختم کر دینی چاہئیے۔
Are you hungry,کیا آپ کو بھو ک لگی ہے
remember that it is your choice,یاد رکھیں کہ یہ آپ کا انتخاب ہے۔
Call the ambulance,کیا آپ میری مدد کر سکتے ہیں؟
break fast in Karachi only Nihari,صرف کراچی میں افطار نہاری۔
It may snow,شاید برفباری ہو جائے۔
Very tasty food with the best biriyani in town,شہر کی بہترین بریانی کے ساتھ انتہائی لذیذ کھانا
