English,Urdu
Great food ordered karahi and barbecue fish Exceptional taste,زبردست کھانا، کراہی اور باربی کیو مچھلی کا آرڈر دیا۔ غیر معمولی ذائقہ
Food is good Management is bad,کھانا اچھا ہے۔ انتظامیہ خراب ہے۔
Good service and clean environment,اچھی سروس اور صاف ماحول۔
Food is good service is satisfactory,کھانا اچھا ہے سروس تسلی بخش ہے۔
Beautiful resturant and delicious foodI love it,خوبصورت ریستوران اور مزیدار کھانا۔ مجھے یہ پسند ہے۔
she feels well,وہ اچھی طرح محسوس کرتا ہے
He went to the station by taxi,وہ ٹیکسی سے سٹیشن چلا گیا۔
the liver,جگر
She is so skeptical,وہ بہت شکی ہے
Loved its bbq specially malai tikka and dehli dhaga kebab,اس کے بی بی کیو، خاص طور پر ملائی ٹِکا اور دہلی دھاگا کباب پسند آئے
superrrrr taste,superrrrr ذائقہ
Great indian cuisine Also quite reasonable,زبردست ہندوستانی کھانا۔ اس کے علاوہ، کافی معقول
I went there for office meeting,میں وہاں آفس میٹنگ کے لیے گیا تھا۔
Chicken Corn soup is very delicious,چکن کارن سوپ بہت لذیذ ہوتا ہے۔
"”

Fernand’s eye darted lightning",فرنینڈ کی آنکھ میں بجلی چمکی۔
Good fish point to eat sitting a bit casual,تھوڑا آرام دہ اور پرسکون بیٹھ کر کھانے کے لئے اچھا مچھلی نقطہ
Stand in line,قطار میں کھڑے ہو جاؤ۔
Many a man suffered at his hands,اس کے ہاتھوں کئی لوگوں نے دکھ اٹھایا۔
Good burgers tasty and huygenic,اچھے برگر سوادج اور خوبصورت
Nice food at economical price,سستی قیمت پر اچھا کھانا
Very good environment for family,خاندان کے لیے بہت اچھا ماحول
Good place for spicy kabab lovers,مصالحے دار کباب کے شائقین کے لیے اچھی جگہ
love the food taste,کھانے کا ذائقہ پسند ہے؟
Marriage asfar,شادی اسفار
Food love,کھانے کی محبت
We raised him up to a high place,اور اسے ہم نے بلند مقام پر اٹھایا تھا
The worst restaurant I have ever visited,بدترین ریستوراں جس کا میں نے کبھی دورہ کیا ہے۔
What are you going to do with yourself,تو اپنے ساتھ کیا کرےگا؟
Always loved it Great service too Keep it up,ہمیشہ اس سے محبت کرتا تھا۔ زبردست سروس بھی۔ اسے جاری رکھیں۔
Mutton and prawn karahis were really good,مٹن اور جھینگے کی کرہیاں واقعی اچھی تھیں۔
Give your friend some space,اپنے دوست کو کچھ جگہ دیں۔
very tasty delicious,بہت مزیدار مزیدار
Very good environment and delicious food,بہت اچھا ماحول اور لذیذ کھانا
"Best food
Pulao and rosht recommend",بہترین کھانا پلاؤ اور روشت تجویز کرتے ہیں۔
How can you avoid ‘shipwreck of your faith’,آپ ’اپنے ایمان کی کشتی کے ٹوٹنے‘ سے کیسے بچ سکتے ہیں؟
Fantastic food in dat area,اس علاقے میں لاجواب کھانا
Good place for breakfast with Nihari,نہاری کے ساتھ ناشتے کے لیے اچھی جگہ
Good taste and Service,اچھا ذائقہ اور سروس
Must try grilled fish,گرلڈ مچھلی ضرور آزمائیں۔
Zameer Ansari in Nazimabad have no good food,ناظم آباد میں ضمیر انصاری کے پاس اچھا کھانا نہیں ہے۔
A caution Do not lace your words with sarcasm,ایک احتیاط اپنے الفاظ کو طنز کے ساتھ نہ باندھیں۔
love this dinner and lunch menu,یہ رات کے کھانے اور دوپہر کے کھانے کے مینو سے محبت کرتے ہیں
We have lost our way,ہم راستہ بھول گئے ہیں۔
Nice place to have Indian Foods,ہندوستانی کھانے کے لیے اچھی جگہ
One of our favorite joints from UAE,متحدہ عرب امارات سے ہمارے پسندیدہ جوڑوں میں سے ایک
Excellent food  the most amazing host,بہترین کھانا اور انتہائی حیرت انگیز میزبان
We fulfill our obligations,ہم نے اپنے فرضوں کو پورا کیا۔
Food is ok  not so special,کھانا ٹھیک ہے اتنا خاص نہیں ہے۔
Nobody was home,گھر پے کوئی نہیں تھا۔
Lovley pleace,لولی پلیز
Work slowly,آرام سے کام کرو۔
Average taste of Sjji,سجی کا اوسط ذائقہ
Good variety of food at affordable price,مناسب قیمت پر کھانے کی اچھی قسم
So We sent it down to the partitioners,یہ اُسی کی طرح کی تنبیہ ہے جیسی ہم نے اُن تفرقہ پردازوں کی طرف بھیجی تھی
We were bored of his behavior,اس کے سلوک سے ہم اکتا گئے۔
You must tell me,تمہیں مجھے بتانا ہوگا۔
Wasted money,پیسہ ضائع کیا۔
Its my pleasure,ی میرے لیے باعد مسرت ہے۔
and to warn those who say God has taken to Himself a son,اور اُن لوگوں کو ڈرا دے جو کہتے ہیں کہ اللہ نے کسی کو بیٹا بنایا ہے
Hhmmmm very tasty n spicy,ہمممم بہت مزیدار اور مسالہ دار
He will reach within a month,وہ ایک ماہ کے اندر پہنچے گا
"Great environment
CL services
Very well test of food",بہترین ماحول CL خدمات کھانے کی بہت اچھی جانچ
From about age 12,اس لیے میری بہن اور میری پرورش بغیر باپ کے ہوئی۔
Good place and food is good but service or waiters are bit dumb,اچھی جگہ اور کھانا اچھا ہے لیکن سروس یا ویٹر تھوڑا سا گونگا ہے۔
Excellent taste of food specially karahi bbq and mandi,کھانے کا بہترین ذائقہ، خاص کر کرہی، بی بی کیو اور منڈی۔
Very expensive place for students,طلباء کے لیے بہت مہنگی جگہ
Ay I wonder responded sapt,ارے، مجھے حیرت ہے sapt جواب دیا
Very bad service,بہت بری سروس
Come with us,ہمارے ساتھ چلو
Be Convinced,قائل ہونا
He has plenty of money,آپ اتنے غصے میں کیوں ہیں؟
My friend lives in Chicago,میرا دوست شکاگو میں رہتا ہے۔
Ants are insects,چیونٹیاں کیڑے مکوڑے ہیں۔
This house is very spacious,یہ گھر کافی بڑا ہے۔
Very bad service  Very disappointing,بہت بری سروس بہت مایوس کن
And a certain woman  which had an issue of blood twelve years,پِھر ایک عورت جِس کے بارہ برس سے خُون جاری تھا ۔
Environment is not very good,ماحول بہت اچھا نہیں ہے۔
Best breakfast experience halwa pori was finest,ناشتے کا بہترین تجربہ، حلوہ پوری بہترین تھی۔
Nice place with timely service,بروقت سروس کے ساتھ اچھی جگہ
Excelkent Taste  Should be open for Luch Hours,بہترین ذائقہ  لچ آورز کے لیے کھلا رہنا چاہیے۔
Grilled fish was not fresh  tried twice and its not upto mark,انکوائری شدہ مچھلی تازہ نہیں تھی، دو بار آزمائی گئی اور نشان تک نہیں ہے۔
I am quitting smoking,میں تمباکونوشی چھوڑ رہا ہوں۔
The ambiance and the food Amazing,ماحول اور کھانا حیرت انگیز
I dont know if I have the time,میں نہیں جانتا اگر میرے پاس وقت ہوا تو ۔
Pray sir do you know our King,دعا کریں جناب، کیا آپ ہمارے بادشاہ کو جانتے ہیں؟
Toms scared,ٹام ڈرا ہوا ہے۔
Fact,حقیقت
Very greasy n overrated,بہت چکنائی اور زیادہ درجہ بندی
Food is Good service is bit slow,کھانا اچھا ہے، سروس تھوڑی سست ہے
One of the finest bihari boti fry,ایک بہترین بہاری بوٹی فرائی
You may finish it how you like,آپ اسے اپنی مرضی کے مطابق ختم کر سکتے ہیں۔
Its good food recommended to all,یہ سب کے لیے تجویز کردہ اچھا کھانا ہے۔
For God’s sake do something,خدا کے لیے کچھ کرو۔
Food was ok,کھانا ٹھیک تھا،
Good place for families for all meals,تمام کھانوں کے لیے خاندانوں کے لیے اچھی جگہ
Quality and quantity of food is very good,کھانے کی کوالٹی اور مقدار بہت اچھی ہے۔
Only restaurant at that place,اس جگہ پر صرف ریستوراں
Affordable with respect to taste,ذائقہ کے لحاظ سے سستی ہے۔
My husband is loving and caring,میرے شوہر بہت پیار کرنے والے اور خیال کرنے والے ہے۔
The food was tasty and inexpensive The service was good,کھانا مزیدار اور سستا تھا۔ سروس اچھی تھی۔
Tom and Mary killed themselves,ٹام اور مریم نے اپنے آپ کو خود قتل کیا۔
He feeds his horse,وہ اپنے گھوڑے کو کھانا کھلاتا ہے۔
Fine taste to have reasonable food,مناسب کھانے کا ذائقہ
O Keeping my curfew,0 میرا کرفیو برقرار رکھنا۔
His mistake was intentional,اس نے یہ غلطی جان بوجھ کے کی ہے۔
Damn your sentiment growled Sapt Come along,لعنت تمہارے جذبات پر گڑگڑا کر ستمبر ساتھ آجاؤ
Comb your hair,اپنے بال کٹھی کر و
Food was very delicious and well cooked,کھانا بہت لذیذ اور اچھی طرح پکا ہوا تھا۔
Give this one to the baby,یہ بچے کو دے دو۔
Thanks for your invitation to dinner,کھانے پر آپ کی دعوت کا شکر ہیں۔
I know you like coffee,مجھے پتہ ہے کہ تمہیں کافی پسند ہے۔
Oh Allah protect them from calamities,اللہ انہیں مشکلات سے بچائے۔
Not try,کوشش نہیں کرنا
I know his name,میں اس کا نام جانتا ہوں۔
Theres something going on between Tom and Mary,ٹام اور مریم کے بیج میں کچھ چل رہا ہے۔
How can you apply that principle,آپ اس اصول کو کیسے لاگو کر سکتے ہیں؟
He give me a bunch of grapes,اس نے مجھے انگوروں کا ایک گچھا دیا۔
Is the service included,کیا اس میں  خد مت کے دام شا مل ہیں؟
I am divorced,میری طلاق ہو چکی ہے۔
Nice dhaba food,اچھا ڈھابہ کھانا۔
Morrel  Son,موریل اینڈ سن
Best food good price,بہترین خوراک اچھی قیمت
Quality of food and serving has gone down Needs improvement,کھانے اور سرونگ کا معیار گر گیا ہے۔ بہتری کی ضرورت ہے۔
Nice food and nice environment Try their chicken jalfrezi,اچھا کھانا اور اچھا ماحول۔ ان کی چکن جلفریزی آزمائیں۔
I like sweet,مجھے میٹھا پسند ہے۔
Youre realistic,آپ حقیقت پسند ہے۔
The question is What is your motive,سوال یہ ہے کہ آپ کا مقصد کیا ہے؟
Dangri Grilled Fish was very delicious awesome,ڈانگری گرلڈ فش بہت لذیذ، لاجواب تھی۔
Will you stay with us when you get back,جب آپ واپس آئیں گے تو کیا آپ ہمارے ساتھ رہیں گے؟
double melt beef burger and pizza fries best,ڈبل پگھل بیف برگر اور پیزا فرائز بہترین
I was lonely so I decided to act like them just so I’d fit in”,میں اکیلا تھا، اس لیے میں نے ان کی طرح کام کرنے کا فیصلہ کیا تاکہ میں فٹ رہوں۔
Good place but expansive,اچھی جگہ لیکن وسیع
Or can you be like Jacob,یا کیا آپ یعقوب کی طرح ہو سکتے ہیں؟
I must finish the report before 8 pm,مجھے یہ ریپورٹ ۸ بجے سے پہلے ختم کرنی ہے۔
ı O True O False b,ı اے سچا اے جھوٹا ب
A good place for grilled chicken wings and chicken burgers,گرلڈ چکن، پنکھوں اور چکن برگر کے لیے ایک اچھی جگہ
Wonderful taste and negative is very good and quite economical,حیرت انگیز ذائقہ اور منفی بہت اچھا اور کافی اقتصادی ہے
Really I don’t believe it,واقعیمجھے یقین نہیں آتا۔
Sasta ha with fantastic tastebest for karahi,لاجواب ذائقے کے ساتھ سستا ہا، کراہی کے لیے بہترین
Amazing foodfastservice great taste and affordable,حیرت انگیز کھانا، تیز رفتار خدمت بہترین ذائقہ اور سستی ہے۔
I can come tomorrow,میں کل آ سکتا ہوں۔
Food was good but service was NOT,کھانا اچھا تھا لیکن سروس نہیں تھی۔
such as,جیسا کہ
Good food value for the money,اچھا کھانا، پیسے کی قدر۔
Roof top restaurant with scrumptious barbeque food,شاندار باربی کیو فوڈ کے ساتھ روف ٹاپ ریستوراں۔
No taste like before,پہلے جیسا ذائقہ نہیں۔
Near from North area,شمالی علاقے سے قریب
Service so slow,سروس اتنی سست ہے۔
If you were Lori’s parent what would you have done and why,اگر آپ لوری کے والدین ہوتے، تو آپ کیا کرتے، اور کیوں؟
Good Restorent,اچھا ریسٹورنٹ
Bullocks are useful animals,بیل مفید جانور ہیں۔
Sapt smoked on for a moment in silence,سپت نے ایک لمحے کے لیے خاموشی اختیار کی۔
Good barbecue,اچھا باربی کیو
I have fallen in love with you,میں آپ کے عشق میں ڈوب چکا ہوں۔
The train was on time today,آج ریل گاڑی پابندی کے ساتھ پہنچ گئی تھی۔
Good food good ambiance reasonable prices 55,اچھا کھانا اچھا ماحول مناسب قیمت۔ 55
Good mutton sajji,اچھی مٹن سجی۔
The best restaurant,بہترین ریستوراں۔
Just an ok place,بس ایک ٹھیک جگہ
Fares should come down,کرایوں میں کمی آنی چاہیے۔
and allow yourself more time for sleep,اور اپنے آپ کو سونے کے لیے مزید وقت دیں۔
How late is the bank open,بینک کتنی دیر تک کھلا ہے؟
I loved it,مجھے یہ پسند آیا
Best place for Sunday family break fast,اتوار کے روز فیملی بریک فاسٹ کے لیے بہترین جگہ
He was running amuck,وہ بھاگ رہا تھا۔
Bolan Katakat Memories  Our Last Lunch together,بولان کاتاکت یادیں ہمارا آخری لنچ ایک ساتھ
Good fish,اچھی مچھلی
Amazing BBQ,حیرت انگیز BBQ
Pakistani local food are available,پاکستانی مقامی کھانے دستیاب ہیں۔
The turban is important in Sikhism,پگڑیاں أہم ہیں سکھ مذہب میں۔
Our class consists of twenty pupil,ہماری کلاس بیس شاگردوں پر مشتمل ہے۔
One of the few Dining place in SITE industrial Area,سائٹ انڈسٹریل ایریا میں کھانے کی چند جگہوں میں سے ایک
Delicious food and very good environment,مزیدار کھانا اور بہت اچھا ماحول
Wait outside,باہر انتظار کرو۔
Cold and tasteless burgers tasteless پھیکا BLC and costly,ٹھنڈا اور بے ذائقہ برگر، بے ذائقہ پھیکا BLC اور مہنگا
Food is very yummy service is slow,کھانا بہت سوادج ہے سروس سست ہے۔
Take too much time to deliver  to provide food,کھانا پہنچانے اور فراہم کرنے میں بہت زیادہ وقت لگائیں۔
But before you light your first,لیکن اس سے پہلے کہ آپ اپنا پہلا روشن کریں۔
Delicious food and excellent enivornment,مزیدار کھانا اور بہترین ماحول
Good food good price,اچھا کھانا اچھی قیمت
Excellent BBQ ambience service  mocktails,بہترین BBQ، ماحول، سروس اور ماک ٹیل
Very tasty and affordable,بہت سوادج اور سستی
Good hotel for middle class families,متوسط ​​گھرانوں کے لیے اچھا ہوٹل
It was very late,بہت دیر ہو چکی تھی۔
"”

“May I have the use of your skiff”

“Certainly",کیا میں آپ کا سکف استعمال کر سکتا ہوں؟ یقیناً
Nice place 100 taste,اچھی جگہ 100 ذائقہ
Worst taste of all,سب سے برا ذائقہ۔
Better place in site area,سائٹ ایریا میں بہتر جگہ
Yummiest bbq and spicy fish,سوادج بی بی کیو اور مسالیدار مچھلی
Nice restaurant in dirty area,گندے علاقے میں اچھا ریستوراں
GOOD TASTE FOR ALL FOOD  I LIKE IT,تمام کھانے کے لیے اچھا ذائقہ، مجھے یہ پسند ہے۔
We are coming tomorrow morning,ہم کل صبح آرہے ہیں۔
The food was okay not great but not bad either,کھانا ٹھیک تھا، اچھا نہیں تھا لیکن برا بھی نہیں تھا۔
The horse kicked the boy,گھوڑے نے لڑکے کو لات ماری۔
The ground is wet after rain,زمین بارش کے بعد گیلی ہو چکی ہے۔
Will you lend me your dictionary,کیا آپ اپنی لغت ادھار دے سکتے ہے؟
"Great taste Specially mutton
And have good service",بہت اچھا ذائقہ خاص طور پر مٹن۔ اور اچھی سروس ہے
Great experience taste was too good,بہت اچھا تجربہ، ذائقہ بہت اچھا تھا۔
Good place for live cooking and also ideal for kids,لائیو کھانا پکانے کے لیے اچھی جگہ اور بچوں کے لیے بھی مثالی۔
He employed a new maid,اس نے ایک نئی نوکرانی رکھ لی۔
Have you something better,کیا کوئ بہتر کمرہ ہے؟
Awesome quality good quantity great taste,بہت اچھا معیار، اچھی مقدار، عظیم ذائقہ
Very bad staff,بہت برا عملہ
Dont disturb yourself,اپنے آپ کو پریشان نہ کریں۔
Extraordinary fresh fish,غیر معمولی تازہ مچھلی
The baseball game was called off due to rain,بیس بال کھیل بارش کی وجہ سے ملتوی کر دیا گیا۔
It has no view,اس سے کوئ منظر دکھا ئ نہیں دیتا۔
The man wont know the answer,آدمی کو اس کا جواب نہیں معلوم ہوگا۔
Love the food but the services are pathetic,کھانا پسند ہے لیکن خدمات قابل رحم ہیں۔
Rolls boti tikka are love,رولز بوٹی ٹِکا پیار ہیں۔
Kababs their speciality,کباب ان کی خاصیت ہے۔
Great place for karahi only,صرف کراہی کے لیے بہترین جگہ
You are so slacker,بہت کام چور ہو تم۔
Food are Ossam,خوراک آسام ہیں۔
I have to go to the bathroom,مجھے غسلخانہ جانا ہے
Should train there waiters for better coordination,بہتر کوآرڈینیشن کے لیے وہاں ویٹروں کو تربیت دینی چاہیے۔
Every dish have different tastethaba style,ہر ڈش کا ذائقہ مختلف ہوتا ہے تھابا کا انداز
Cool n calm hygienic environment Nice taste of food,ٹھنڈا اور پرسکون حفظان صحت کا ماحول۔ کھانے کا اچھا ذائقہ۔
I remarked on it in a joking tone,میں نے طنزیہ لہجے میں اس پر تبصرہ کیا۔
I bought three dozen oranges,میں نے تین درجن سنترے خریدے۔
Fair,منصفانہ
Not a good place to dine Food was ok very less quantity,کھانے کے لیے اچھی جگہ نہیں ہے۔ کھانا ٹھیک تھا بہت کم مقدار میں
Exercise,ورزش
Food is good Chinese specially,کھانا اچھا ہے، خاص طور پر چینی۔
The King breathed loudly and heavily,بادشاہ نے زور زور سے سانس لیا۔
Very disappointing no quality of food,کھانے کا کوئی معیار بہت مایوس کن ہے۔
I thought things would change,مجھے لگا کہ حالت بدلےگا۔
“Eh eh eh” stammered Caderousse,آہ، آہ، آہ ہچکچاتے کیڈروس
Vip good vip place,وی آئی پی اچھی وی آئی پی جگہ
I shall go for a swim,میں تیراکی کے لیے جاؤں گا۔
Thats grapes,وہ انگور
I tried seekh kabab  taste was not good,میں نے کباب تلاش کرنے کی کوشش کی، ذائقہ اچھا نہیں تھا۔
AMBIANCE  AND TASTE,ماحول اور ذائقہ
She has a brother,اس کا ایک بھائی ہے۔
Ambience was not that good but food is good,ماحول اتنا اچھا نہیں تھا لیکن کھانا اچھا ہے۔
Good place to dine in with quality food,معیاری کھانے کے ساتھ کھانے کے لیے اچھی جگہ
Good taste and quick catering,اچھا ذائقہ اور فوری کیٹرنگ
Little expensive from market,بازار سے تھوڑا مہنگا
He goes running every morning,وہ ہر صبح دوڑتا ہے۔
Finest bbq of Karachi Delhi Walas Certified,کراچی کا بہترین بی بی کیو۔ دہلی والا سرٹیفائیڈ
Love the Food,کھانے سے محبت کریں۔
Money changes people,پیسہ لوگوں کو بدل دیتا ہے۔
Good place for dinner,رات کے کھانے کے لیے اچھی جگہ
Strongly recommend freh and tasty food I have ever eaten,سختی سے تازہ اور مزیدار کھانے کی سفارش کرتا ہوں جو میں نے کبھی کھایا ہے۔
You can get mouth watering Kababs parathas and halwa,آپ منہ میں پانی بھرنے والے کباب، پراٹھے اور حلوہ لے سکتے ہیں۔
Have you a reservation,کیا آپ نے مخصو ص کرا لیا ہے؟
“Speak truth each one of you with his neighbor”,’’تم میں سے ہر ایک اپنے پڑوسی سے سچ بولے۔‘‘
They said Have we not forbidden thee all beings,وہ بولے کیا ہم بارہا تمہیں منع نہیں کر چکے ہیں کہ دنیا بھر کے ٹھیکے دار نہ بنو؟
Nicely served fresh fish,اچھی طرح سے تازہ مچھلی پیش کی گئی۔
Something different than Bar B Que Tonight,بار بی کیو ٹونائٹ سے کچھ مختلف
They arrived at six oclock,وہ چھ بجے پہنچے۔
Fred is always telling lies,فریڈ ہمیشہ جھوٹ بولتا ہے۔
Your friend can lend you the money,مجھے یقین ہے کہ یہ کتا مجھے کاٹ لے گا۔ اوہ نہیں، یہ
Lovely Taste️,خوبصورت ذائقہ️
People gave the queen warm welcome,لوگوں نے ملکہ کا پرتپاک استقبال کیا۔
Now the game is over,اب تو کھیل ختم ہوچکا ہے۔
Come come I repeated impatiently,آو آو میں نے بے صبری سے دہرایا۔
Fritz did as he was bid,فرٹز نے ویسا ہی کیا جیسے اسے بولی تھی۔
Nahari specialist,نہاری ماہر
Nice food specially shahi handi it is a must try,اچھا کھانا، خاص طور پر شاہی ہانڈی یہ ضرور آزمانا ہے۔
Good but not exceptional,اچھا لیکن غیر معمولی نہیں۔
Good and tasty ambiance should improve,اچھا اور لذیذ ماحول بہتر ہونا چاہیے۔
Above Avg,اوسط سے اوپر
It was good but quantity was very less as compare to the price,یہ اچھا تھا لیکن قیمت کے مقابلے میں مقدار بہت کم تھی۔
Supreme quality and taste live BBQ,اعلی معیار اور ذائقہ لائیو BBQ
Great restaurant,زبردست ریستوراں۔
Id rather die than give up,مین ہار ماننے سے مرنا مناسب سمجھتا ہوں۔
I need help with this stuff,مجھے اس سے مدد کی ضرورت ہے۔
Delicious fish ever,کبھی بھی مزیدار مچھلی۔
Best BBQValue for MoneyScrumptious,بہترین باربی کیوپیسے کی قدربہترین
Brain masala awsome,دماغی مسالہ زبردست
Love it,اس سے پیار کریں
Just good,بس اچھا
Pathetic food Only Nihari is good,قابل رحم کھانا۔ صرف نہاری اچھی ہے۔
Good environment and tasty dishes,اچھا ماحول اور لذیذ پکوان
over crowd and too place not comfortable sevice very baad,زیادہ ہجوم اور جگہ جگہ آرام دہ نہیں سروس بہت بری
Awesome food good ambience and service was great,بہت اچھا کھانا، اچھا ماحول اور سروس بہت اچھا تھا
Granges are good to eat,گرینجز کھانے میں اچھے ہیں۔
Good place for family dinner food is Ok,فیملی ڈنر کے لیے اچھی جگہ ٹھیک ہے۔
Thats a dull grammar youre reading isnt it,یہ ایک مدھم گرامر ہے جسے آپ پڑھ رہے ہیں، ہے نا؟
Family  restaurant,فیملی ریستوراں
No space for sitting that are the negetive point,بیٹھنے کے لیے جگہ نہیں جو کہ منفی نقطہ ہے۔
Good place for Bar B Q items,بار بی کیو آئٹمز کے لیے اچھی جگہ
Awesome but food delivery took longer than mentioned,زبردست لیکن کھانے کی ترسیل میں ذکر سے زیادہ وقت لگا
O Being financially responsible,0 مالی طور پر ذمہ دار ہونا۔
Wheres the food,کھانا کہاں ہے؟
Thanks,شکریہ
Used to be good Have not been there recently,اچھا ہوا کرتا تھا۔ حال ہی میں وہاں نہیں گئے ہیں۔
Nehari is good but service is seriasly bad,نہاری اچھی ہے لیکن سروس بہت بری ہے۔
Its not a very big house,یہ کوئی بہت بڑا گھر نہیں ہے۔
Economiacal and best food Ambiance is zabardast,معاشی اور بہترین کھانا۔ ماحول خوش آئند ہے۔
Tasteless food,بے ذائقہ کھانا
Don’t Be Duped Each year,ہر سال دھوکہ نہ کھائیں۔
Your mother will be back before long,تمہاری ماں بس راستے میں ہو گی۔
The wood was dense up to the very edge of the road,سڑک کے بالکل کنارے تک لکڑی گھنی تھی۔
I cannot understand,میں نہیں سمجھ سکا۔
Very nice restaurants  gyms  there,وہاں بہت اچھے ریستوراں اور جم ہیں۔
A good place for fresh food and with taste,تازہ کھانے اور ذائقے کے ساتھ ایک اچھی جگہ
Awesome beef karahi,لاجواب بیف کراہی۔
Can you speak English,کیا آپ انگریزی بول سکتے ہیں؟
Good for friends,دوستوں کے لیے اچھا ہے۔
Good for desi items,دیسی اشیاء کے لیے اچھا ہے۔
O Finishing chores,0 کام ختم کرنا۔
We said O fire be coolness and safety for Abraham,ہم نے کہا اے آگ، ٹھنڈی ہو جا اور سلامتی بن جا ابراہیمؑ پر
He has got to go now,اسے اب جانا ہے۔
Look it up on the internet,انٹرنیٹ پر تلاش کر لو
What has sped thee far from thy people Moses,اور کیا چیز تمہیں اپنی قوم سے پہلے لے آئی موسیٰؑ؟
I love her,میں اس سے پیار کرتا ہوں۔
Its yummy as always need to get better in services,یہ مزیدار ہے جیسا کہ ہمیشہ خدمات میں بہتر ہونے کی ضرورت ہے۔
Look up the chimney,چمنی کو دیکھو۔
Nice place to be specially upstairs,رہنے کے لیے اچھی جگہ، خاص طور پر اوپر
He leaves at six,وہ چھ بجے چلا جاتا ہے۔
Will you explain problem to me,کیا آپ مجھے مسئلہ بتائیں گے؟
No delicious food,کوئی لذیذ کھانا نہیں۔
Bad service,بری سروس۔
There is no room in this train,اس گاڑی میں کوئی جگہ نہیں ۔
I couldnt keep from snickering,میں ہنسے بغیر نہیں رہ سکتی تھی۔
Tasty food especially fish of all kinds Reasonable rates,لذیذ کھانے خصوصاً ہر قسم کی مچھلی۔ مناسب نرخ۔
Cool n calm hygienic environment,ٹھنڈا اور پرسکون حفظان صحت کا ماحول
Best Nihari you can find in Karachi,بہترین نہاری جو آپ کو کراچی میں مل سکتی ہے۔
Good food but no proper sitting arrangement,کھانا اچھا لیکن بیٹھنے کا مناسب انتظام نہیں۔
“I don’t trust you enough to confide in you,لیکن آپ کے والدین سنتے ہیں
Great food with good price and quantity,اچھی قیمت اور مقدار کے ساتھ زبردست کھانا
No proper sitting area for family,فیملی کے لیے بیٹھنے کی جگہ نہیں ہے۔
Very good place,بہت اچھی جگہ
Delicious Food Excellent Staff and beautiful Venue,مزیدار کھانا بہترین عملہ اور خوبصورت مقام
Never message me,مجھے کبھی میسج نہ کرنا
Tasty however a bit over priced,سوادج، تاہم قدرے زیادہ
Lovely Food specially fry kabab,پیارا کھانا خاص طور پر کباب بھونیں۔
"”

The owner did not wait for a second invitation",مالک نے دوسری دعوت کا انتظار نہیں کیا۔
I wont spare you,وہ وعدے کا پکا ہے
These men are the wisest people of the tribe,یہ لوگ قبیلے کے سب سے دانشمند لوگ ہیں۔
Famous for its BBQ,اپنے BBQ کے لیے مشہور ہے۔
Chicken Makhni was good the rest was average,چکن مکھنی اچھی تھی، باقی اوسط درجے کی تھی۔
The food was very good but the order took a bit long to arrive,کھانا بہت اچھا تھا لیکن آرڈر پہنچنے میں تھوڑا وقت لگا
Was good but i think prices are lil bit high,اچھا تھا لیکن مجھے لگتا ہے کہ قیمتیں بہت زیادہ ہیں۔
Desi test,دیسی ٹیسٹ
The room is dark,کمرے سیاہ ہے۔
Too coastly,بہت ساحلی ۔
What do you think Miss West,آپ کا کیا خیال ہے، ویسٹ صاحبہ؟
Best Bar B Q in town,شہر میں بہترین بار BQ
