English,Urdu
Good place to have kebab fry kabab,کباب کھانے کے لیے اچھی جگہ کباب بھونیں۔
Good food good taste good quality and parking space,اچھا کھانا اچھا ذائقہ اچھا معیار اور پارکنگ کی جگہ
It does not matter,کوئی بات نہیں
Pathetic behavior of waiters and manager mohsin,ویٹر اور منیجر محسن کا قابل رحم رویہ
Toms fast,ٹام تیز ہے۔
Outstanding service and food also,شاندار سروس اور کھانا بھی
What sort of assurance can you provide,آپ اس چیز کی کیا  ضمانت دیتے ہیں۔
They are big wig,وہ بڑے وگ ہیں
Excellent place for Nihari lovers,نہاری سے محبت کرنے والوں کے لیے بہترین جگہ
Why did you write the exercise in pencil,میں نے اسے پچھلے ہفتے بلیک بورڈ پر لکھا تھا۔
No one has drunk out of this glass,اس گلاس سے کسی نے نہیں پیا ہے
I eat a lot of meat,میں کافی زیادہ گوشت کھاتا ہوں۔
Far be it from me to contradict the King said I,میں نے کہا کہ بادشاہ کی مخالفت کرنا مجھ سے دور ہے۔
"Very Good Restaurant
NEHARI AND PAYA WAS A AMAZING",بہت اچھا ریستوراں نہاری اور پیا ایک حیرت انگیز تھا۔
Go upwards,اوپر جائیں۔
Every thing is perfect,ہر چیز کامل ہے۔
This chair has been mended,اس کرسی کو ٹھیک کر دیا گیا ہے۔
Taste was good but the service is poor,ذائقہ اچھا تھا، لیکن سروس غریب ہے
According to the Italians translators are traitors,اطالویوں کے مطابق، مترجمان غدار ہوتے ہیں۔
No need to go to kemari  bring your family here,کیماڑی جانے کی ضرورت نہیںاپنی فیملی کو یہاں لے آؤ
He plays football everyweek,وہ ہر ہفتے فٹ بال کھیلتا ہے۔
When will you pay the debt,تم قرض کب ادا کرو گے؟
Who’ll foot the bill,بل کو کون کرے گا۔
Best food cooperative staff,بہترین خوراک، کوآپریٹو عملہ
Nice taste but not suitable for family,اچھا ذائقہ لیکن خاندان کے لیے موزوں نہیں ہے۔
Youre very special,تم بہت خاص ہو
great bbq try you will definitely love i its extremely awesome,عظیم بی بی کیو کوشش کریں آپ یقینی طور پر مجھے پسند کریں گے یہ انتہائی زبردست ہے۔
You are adorable and I love you,آپ بہت پیاری ہو اور میں آپ سے پیار کرتا ہوں۔
Good taste but low in quantity,ذائقہ اچھا لیکن مقدار میں کم
Thats a nice place and nice taste,یہ ایک اچھی جگہ اور عمدہ ذائقہ ہے۔
Hight rate with normal test,نارمل ٹیسٹ کے ساتھ ہائی ریٹ۔
Too good best quality food,بہت اچھا بہترین معیار کا کھانا
What’s the day today,آج کونسا دن ہے؟
“Pardieu” said Villefort “he is a noble fellow,پارڈیو ویلفورٹ نے کہا، وہ ایک شریف آدمی ہے۔
Excellent ambiance very good quality food,بہترین ماحول، بہت اچھے معیار کا کھانا
You dont look so good,تم کافی بیمار لگ رہے ہو۔
Food is good but alot of ret,کھانا اچھا ہے لیکن ریٹ بہت ہے۔
Taste is amazing The best alternative to Nandos in Karachi imo,ذائقہ حیرت انگیز ہے کراچی میں نندوز کا بہترین متبادل imo۔
It wasnt long,یہ طویل نہیں تھا
MASHAALLAH NICE EXPERIENCE,ماشاءاللہ اچھا تجربہ ہے۔
Dosa are Best,ڈوسا بہترین ہیں۔
You have a beautiful name,بہت خوبصورت نام ہے تمہارا۔
We hardly realize how important it is,ہمیں کبھی کبھی احساس ہوتا ہے کہ یہ کتنا ضروری ہے۔
even such men as are patient and put their trust in their Lord,جنہوں نے صبر کیا ہے اور جو اپنے رب کے بھروسے پر کام کر رہے ہیں کہ کیسا اچھا انجام اُن کا منتظر ہے
Normal but expensive food,عام لیکن مہنگا کھانا
Food was too good but place was very hot,کھانا بہت اچھا تھا لیکن جگہ بہت گرم تھی۔
Vip place,وی آئی پی جگہ
Food was delicious and specially Thali serving,کھانا مزیدار تھا اور خاص طور پر تھالی پیش کی گئی۔
Never going to visit this place ever,اس جگہ پر کبھی نہیں جانا
Excellent food  clean place  value for money,بہترین کھانا صاف ستھری جگہ پیسے کی قدر
Do you want to leave home to get away from problems,کیا آپ مسائل سے بچنے کے لیے گھر چھوڑنا چاہتے ہیں؟
Every thing is excellent but their pasta is not that much good,ہر چیز بہترین ہے لیکن ان کا پاستا اتنا اچھا نہیں ہے۔
BBQ and Karhai are awesome Nihari is average,BBQ اور Karhai بہت اچھے ہیں۔ نہاری اوسط ہے۔
And then came the Duke of Strelsau,اور پھر ڈیوک آف اسٹریلساؤ آیا۔
They told the new student where to sit,انہوں نے نئے طالب علم کو بتایا کہ کہاں بیٹھنا ہے۔
Best for mutton qorma,مٹن قورمہ کے لیے بہترین
Food is good but catering not well,کھانا اچھا ہے لیکن کیٹرنگ ٹھیک نہیں ہے۔
Good sajji,اچھا سجی۔
No good food no good atmosphere and very poor service,اچھا کھانا نہیں، اچھا ماحول نہیں اور انتہائی ناقص سروس
WHAT is binge drinking,بینج پینا کیا ہے؟
I have to give my exam,مجھے اپنا امتحان دینا ہے۔
"”

“I have found already",’’میں نے پہلے ہی ڈھونڈ لیا ہے۔
Mutton peshawari karahi is must have,مٹن پشاوری کراہی ضرور ہونی چاہیے۔
and even your pets,اور یہاں تک کہ آپ کے پالتو جانور بھی
French is their mother tongue,فرانسیسی ان کی مادری زبان ہیں۔
Good place for hangouts,hangouts کے لیے اچھی جگہ
Nice to have family dinners,فیملی ڈنر کر کے اچھا لگا
Good for food and relaxing,کھانے اور آرام کرنے کے لیے اچھا ہے۔
Uniquely tasteful food,منفرد ذائقہ دار کھانا
"Mashaalah so delicious dishes
With excellent service",ماشاءاللہ بہت لذیذ پکوان بہترین سروس کے ساتھ
home made dessert is must,گھر کی میٹھی ضروری ہے
Fresh and good taste,تازہ اور اچھا ذائقہ
Worst management in KTown period,KTown میں بدترین انتظام، مدت
This is a good place to get desi food with air conditioning,ایئر کنڈیشنگ کے ساتھ دیسی کھانا حاصل کرنے کے لیے یہ ایک اچھی جگہ ہے۔
Dellisus teasty food in town,شہر میں ڈیلیسس ذائقہ دار کھانا
Best place for indian food especially dosa and thali,ہندوستانی کھانے خصوصاً ڈوسا اور تھالی کے لیے بہترین جگہ
Foods are good but I think expensive,کھانے اچھے ہیں لیکن میرے خیال میں مہنگے ہیں۔
Tastless indian food but burgers were good,بے ذائقہ ہندوستانی کھانا لیکن برگر اچھے تھے۔
Why did he run away,وہ بھاگا کیوں؟
Cheese loader best tha,پنیر لوڈر بہترین تھا
Maybe were gonna work,شاید ہم کام کریں۔
I wont bore you with the details,میں تمہیں دیادہ تفصیل بتا کے بور نہیں کرو گی۔
Grill Prawns was too delicious,گرل جھینگے بہت لذیذ تھے۔
They need to work hard on taste and quality and also service,انہیں ذائقہ اور معیار اور خدمت پر بھی سخت محنت کرنے کی ضرورت ہے۔
good food but setting area is not so  good,اچھا کھانا لیکن سیٹنگ ایریا اتنا اچھا نہیں ہے۔
delicious koyla karahi and qeema taste,مزیدار کوئلہ کراہی اور قیمے کا ذائقہ
“Whenever I want to go out” says 16yearold Iliana,16 سالہ الیانا کہتی ہیں، ’’میں جب بھی باہر جانا چاہتی ہوں۔
Nihari was excellent Bar BQ tikka was also awesome,نہاری بہترین تھی۔ بار بی کیو ٹِکا بھی لاجواب تھا۔
What’s wrong with binge drinking,بینگ پینے میں کیا حرج ہے۔
Good place for lunch of office staff,دفتری عملے کے لنچ کے لیے اچھی جگہ
In Starting Awesome Flavour and Quantity,زبردست ذائقہ اور مقدار شروع کرنے میں
I think not Your Highness,مجھے نہیں لگتا، عالیہ
Went twice for sehrilate night dinner,سحری دیر رات کے کھانے کے لیے دو بار گیا۔
Vvip satup for food,کھانے کے لیے وی وی آئی پی سیٹ اپ
Go for the Shahi Chatak Boti nothing else matters,شاہی چتک بوٹی کے لیے جائیں، کسی اور چیز سے فرق نہیں پڑتا۔
Good place neet and clean environment,اچھی جگہ اور صاف ستھرا ماحول
Nice place to have Pakistani BBQ,پاکستانی BBQ رکھنے کے لیے اچھی جگہ
Excellent quality food Each and every dish was well prepared,بہترین معیار کا کھانا۔ ہر ڈش اچھی طرح تیار کی گئی تھی۔
I was tired so I went to bed,میں تھکا ہوا تھا اسی لئے میں سونے چلا گیا۔
Amazing and awesome,حیرت انگیز اور زبردست
No proper sitting area for family Over all taste is good,فیملی کے لیے بیٹھنے کی کوئی مناسب جگہ نہیں ہے ہر چیز کا ذائقہ اچھا ہے۔
Worst place for eating All dishes are smelly,کھانے کے لیے بدترین جگہ تمام پکوان بدبودار ہیں
First and a very bad experience from here,یہاں سے پہلا اور بہت برا تجربہ
Its great of you that you stopped for me,آپ کی نوازش ہے کہ آپ میرے لیے رکے۔
Bring us two orders of soup,ہمیں دو پلیٹ شو ر بے کی دیجئے
Nice sea food restaurant I have ever seenwonderful taste,اچھا سی فوڈ ریستوراں جو میں نے کبھی دیکھا ہے شاندار ذائقہ
He and only he knows the whole truth,وہ اور صرف وہ ہی پوری سچائی جانتا ہے۔
Place was nice neat  clean Food is average not so good,جگہ اچھی، صاف ستھری تھی، کھانا اوسطاً اتنا اچھا نہیں ہے۔
Good food good service nice place to be with Ur family,اچھا کھانا اچھی سروس اُر فیملی کے ساتھ رہنے کے لیے اچھی جگہ
This is good place for dinein with family or functions,یہ فیملی یا فنکشنز کے ساتھ کھانے کے لیے اچھی جگہ ہے۔
Good freshly made food,اچھا تازہ بنایا ہوا کھانا
Test Foods  Awesome Peoples,ٹیسٹ فوڈز اور زبردست لوگ
Specialist in Mutton chops and I enjoyed here with my Family,مٹن چپس کے ماہر اور میں نے اپنی فیملی کے ساتھ یہاں لطف اٹھایا۔
Delicious and clean food,مزیدار اور صاف ستھرا کھانا
Quality of taste amazing I highly recommended,ذائقہ کا معیار حیرت انگیز ہے جس کی میں نے سفارش کی ہے۔
Testy and healthy food,ٹیسٹ اور صحت بخش کھانا
Alif Lam Ra Those are the signs of the Manifest Book,ا، ل، ر یہ اُس کتاب کی آیات ہیں جو اپنا مدعا صاف صاف بیان کرتی ہے
Must try delicious food,مزیدار کھانے ضرور آزمائیں
Thats probably just a coincidence,شاید وہ صرف توارد ہے۔
Dont get up,اٹھو نہیں
It was great experience with Tandoor,تندور کے ساتھ یہ بہت اچھا تجربہ تھا۔
Food is not good,کھانا اچھا نہیں ہے۔
” This joke elicited a fresh burst of applause,اس لطیفے نے تالیوں کی ایک تازہ لہر کو جنم دیا۔
My youngest brother at binoria restaurant,بنوریا ریستوراں میں میرا سب سے چھوٹا بھائی
Not satisfied with food spice there is no normal spice flavor,کھانے کے مسالے سے مطمئن نہیں، مصالحے کا کوئی عام ذائقہ نہیں ہے۔
“Waiter” said Danglars “pen ink and paper,ویٹر، ڈینگلر نے کہا، قلم، سیاہی اور کاغذ
Tasteless overpriced food with lack of ventilation,وینٹیلیشن کی کمی کے ساتھ بے ذائقہ زیادہ قیمت والا کھانا
O Being punctual,0 وقت کا پابند ہونا۔
He cant speak English can he,اود انگلش نہیں بول سکتا ، ہے نا
I would like to say that,میں یہ کہنا چا ہوں گا کہ۔۔۔
Food is amazing,کھانا حیرت انگیز ہے۔
Nothing beats the bbq from Zamir Ansari,ضمیر انصاری کی طرف سے بی بی کیو کو کچھ نہیں مارتا
Good grilled peri wings,اچھی گرلڈ پیری ونگز
Is it late,کیا دیر ہوگئی ہے۔
Having good taste and pocket friendly as well,اچھا ذائقہ اور جیب دوست بھی
And now what,اور اب کیا؟
Lash push tasty khanaa,لذیذ کھنہ لش دھکا
Fine but slow,ٹھیک لیکن سست
Speak out,بولو۔
You had far better stay here,بہتر ہے کہ تم یہی رک جائو۔
The house is vacant,یہ گھر خالی ہے۔
"Food is nice
But the place is dirty Its not clean",کھانا اچھا ہے۔ لیکن جگہ گندی ہے۔ یہ صاف نہیں ہے۔
Good economical place Tasty food,اچھی اقتصادی جگہ۔ مزیدار کھانا
"greet food
great service",کھانے کی عظیم خدمت کو سلام
Nice breakfast place with family offering dine in,فیملی کے ساتھ ناشتے کی عمدہ جگہ جس میں کھانے کی پیشکش ہے۔
The makhni handi was too good there and the services were on par,وہاں مکھنی ہانڈی بھی اچھی تھی اور خدمات بھی برابر کی تھیں۔
Good for small dinners,چھوٹے کھانے کے لیے اچھا ہے۔
Lo quality food,لو معیاری کھانا
Anna is twelve years old,آنا بارہ سال کی ہیں۔
Not as good as we have thought,اتنا اچھا نہیں جتنا ہم نے سوچا ہے۔
yesterday we made plan of grand dawat here,کل ہم نے یہاں عظیم الشان دعوت کا منصوبہ بنایا
Light a fire in the sitttingroom,بیٹھنے کے کمرے میں آگ جلائیں۔
The Bible warns that if you overdrink,بائبل خبردار کرتی ہے کہ اگر آپ زیادہ پیتے ہیں۔
Best Chicken chow main ever,اب تک کا بہترین چکن چاؤ مین
One of the best and most delicious food Ive eat after long time,ایک بہترین اور لذیذ کھانا جو میں نے طویل عرصے کے بعد کھایا ہے۔
Now they have a better family hall very nive,اب ان کے پاس ایک بہتر فیملی ہال بہت اچھا ہے۔
Delicious food and prices are very low,لذیذ کھانے اور قیمتیں بہت کم ہیں۔
Why did you stop only the foreigners,آپ نے صرف غیرملکیوں کو کیوں روکا؟
Great place for both lunch and dinner,لنچ اور ڈنر دونوں کے لیے بہترین جگہ
Best Nihari in karachi,کراچی میں بہترین نہاری۔
Love it awsome n delicious food,اسے بہت اچھا اور مزیدار کھانا پسند ہے۔
“Sometimes I’ll talk to him for a while and then he’ll say ‘,"کبھی کبھی میں تھوڑی دیر اس سے بات کروں گا اور پھر وہ کہے گا،x000D
میں معافی چاہتا ہوں، کیا آپ مجھ سے بات کر رہے تھے؟x000D
 سوال اگر لیہ کو واقعی کسی مسئلے پر بات کرنے کی ضرورت ہو تو کیا ہوگا؟x000D
اس کے پاس کم از کم تین اختیارات ہیں۔x000D
اگر آپ کو کسی مسئلے کے بارے میں اپنے والدین والدین کے ساتھ بیٹھ کر بات کرنا مشکل لگتا ہے۔x000D
جب آپ ایک ساتھ چل رہے ہوں، گاڑی چلا رہے ہوں یا خریداری کر رہے ہوں تو اس معاملے پر بات کریں۔x000D
آپ کے والدین بات کرنا چاہتے ہیں، لیکن آپ ایسا نہیں کریں گے۔x000D
اسکول میں سخت دن کے فوراً بعد سوالات کا نشانہ بننے سے بدتر کوئی چیز نہیں ہے۔"
And he looked round about to see her that had done this thing,اُس نے چاروں طرف نِگاہ کی تاکہ جِس نے یہ کام کِیا تھا اُسے دیکھے ۔
That was great,یہ بہت اچھا تھا۔
Environment and food service is outstanding,ماحولیات اور کھانے کی خدمت شاندار ہے۔
Awesome katakat avail here people u must visit,یہاں لوگوں کو آپ کو ضرور جانا چاہیے۔
Nice Taste of Karachi,کراچی کا خوبصورت ذائقہ
Amazing taste 1010,حیرت انگیز ذائقہ 1010
I remember having seen him somewhere before,مجھے یاد ہے کہ میں نے اسے کہیں پہلے دیکھا ہوا ہے۔
Excellent taste perfect ambiance,بہترین ذائقہ، کامل ماحول
"Delicious dishes
Specially karahi",مزیدار پکوان خاص طور پر کراہی۔
Reading is a great enjoyment to him,کتابیں پڑھ کے اسے بہت خوشی ملتی ہے۔
The test never can beat anyone,امتحان کبھی کسی کو ہرا نہیں سکتا
and you’ll likely develop a persistent cough,اور آپ کو مستقل کھانسی ہونے کا امکان ہے۔
Great taste Do try barbque platter,بہت اچھا ذائقہ باربکیو پلیٹر آزمائیں۔
Don’t beat up,مار پیٹ نہ کرو۔
Taste was great,ذائقہ بہت اچھا تھا۔
Good and testy food,اچھا اور ٹیسٹ کھانا
super,سپر
If not now when,اب نہیں تو، کب؟
Beef koyla karahi was awesome,بیف کوئلہ کراہی لاجواب تھا۔
Best mutton karhie,بہترین مٹن کڑھی۔
Not a good experience,اچھا تجربہ نہیں ہے۔
3rd Floor open to sky is the place for family dine in,تیسری منزل آسمان پر کھلی فیملی کے کھانے کی جگہ ہے۔
Pakistan,پاکستان
This apple tastes very sour,اس سیب کا ذائقہ بہت کڑوا ہے۔
Quality of food and serving has gone down,کھانے اور سرونگ کا معیار گر گیا ہے۔
Best hy,بہترین ہائے
Very bed service rude behavior,بہت بستر کی خدمت، بدتمیز سلوک۔
I will help you  the doctor replied,میں تمہاری مدد کروں گا، ڈاکٹر نے جواب دیا۔
Nice food at affordable price for family and friends gatherings,خاندان اور دوستوں کے اجتماعات کے لیے مناسب قیمت پر اچھا کھانا
Nice view and excellent food,عمدہ نظارہ اور بہترین کھانا
Vvip food specialy Magaz Katakat  bhari kabab,وی وی آئی پی فوڈ سپیشل ماگز کاتاکت، بھری کباب
Edison invented the phonograph,ایڈیسن نے فونوگراف ایجاد کی۔
What would you like to have,میرے لیے ایک پیپسی لے آئیں۔
Sadly the food quality was very disappointing,افسوس کی بات ہے کہ کھانے کا معیار بہت مایوس کن تھا۔
Love,محبت
Enough is enough,منہ سنبھال کر بات کرو۔
Youre a good boy,تم ایک اچھے بچے ہو۔
Poor health is the only consequence of binge drinking,خرابی صحت دو بھرے پینے کا واحد نتیجہ ہے۔
Best mutton karahi in t0wn,t0wn میں بہترین مٹن کراہی۔
great place n tasteservice little slow,عمدہ جگہ اور ذائقہ  خدمت تھوڑی سست
Rates are high but good area for this much variety of foods,قیمتیں زیادہ ہیں لیکن کھانے کی اس زیادہ اقسام کے لیے اچھا علاقہ ہے۔
Best Service Delicious Food Specialist for Grill Burger,بہترین سروس، مزیدار کھانا، گرل برگر کے لیے ماہر
With school friends,اسکول کے دوستوں کے ساتھ
You have made him angry,آپ نے اسے ناراض کردیا۔
Food quality is good however management is poor,کھانے کا معیار اچھا ہے تاہم انتظام ناقص ہے۔
One of the best BBQ joints in Karachi,کراچی کے بہترین BBQ جوائنٹس میں سے ایک
Hes not going to ride a bike,وہ موٹر سائیکل پر سوار نہیں ہو گا۔
Its good for me,یہ میرے لیے اچھا ہے۔
Excellent for Indian food lovers,ہندوستانی کھانے سے محبت کرنے والوں کے لیے بہترین
This fruit has a bad taste,اس پھل کا ذائقہ خراب ہے۔
Are you falling for Tom,کیا تمہیں ٹام سے پیار ہو رہا ہے؟
Food was good but no sign of good hygiene,کھانا اچھا تھا لیکن اچھی حفظان صحت کی کوئی علامت نہیں تھی۔
For the Son of man is come to save that which was lost,کیونکہ ابنِ آدم کھوئے ہووَں کو ڈھونڈنے اور نجات دینے آیا ہے
How is it,کیسا ہے؟
Are you pupil,کیا آپ شاگرد ہیں؟
they do it well,وہ یہ اچھی طرح کرتے ہیں
Very Tasty Great Service Grilled Fish Specialist,بہت سوادج، زبردست سروس، گرلڈ فش سپیشلسٹ
MUST TRY THEIR CHICKEN CREAM,ان کی چکن کریم ضرور آزمائیں۔
Explain your goals clearly in this regard,اس سلسلے میں اپنے مقاصد کو واضح طور پر بیان کریں۔
Great ambience and food,بہترین ماحول اور کھانا۔
Can you please do my hair,کیا آپ میرے بال بنائیں؟
You need to do your homework,آپ کو اپنا ہوم ورک کرنے کی ضرورت ہے۔
Live fish available along with desi murga duck and batair,دیسی مرگا، بطخ اور بطیر کے ساتھ زندہ مچھلی دستیاب ہے۔
Foods available in Comportable price  for middle class peoples,متوسط ​​طبقے کے لوگوں کے لیے مناسب قیمت پر کھانے کی اشیاء دستیاب ہیں۔
The weather became warm,موسم تھوڑا گرم ہو گیا۔
Loved this place perfect taste in a budget price,بجٹ کی قیمت میں اس جگہ کا بہترین ذائقہ پسند آیا
Our teacher told us when to start,ہماری استانی نے ہمیں بتایا کہ کب شروع کرنا ہے۔
Old styled but still the quality seems maintained,پرانا انداز ہے لیکن پھر بھی معیار برقرار ہے۔
nerd to improve service and menue,سروس اور مینیو کو بہتر بنانے کے لیے بیوقوف
Fish karahi was good with resonable price,مچھلی کراہی مناسب قیمت کے ساتھ اچھی تھی۔
Average food good for crowd less than 200,اوسط کھانا، 200 سے کم ہجوم کے لیے اچھا۔
What would you like to eat and drink,آپ کیا کھا نا اور پینا پسند کریں گے؟
I owe you a great deal,میں آپ کا بہت مقروض ہوں۔
What has rpolice just said,پولیس نے ابھی کیا کہا ہے؟
Come quickly the child is drowning,جلدی آو؛بچہ ڈوب رہا ہے
Im the one to blame,الزام مجھے دیا جائے۔
Good place for lunch and dinner,لنچ اور ڈنر کے لیے اچھی جگہ۔
You havent really thought this through have you,تم نے اصل میں اس کے بارے میں اتنا نہیں سوچا ہے، ہےنا؟
And charged them that they should not make him known,اور اُن کو تاکید کی کہ مُجھے ظاہر نہ کرنا ۔
Fantastic fish specially grilled,لاجواب مچھلی خاص طور پر گرل کی گئی۔
Good old Zameer Ansari Always a good option for quality BBQ,اچھے پرانے ضمیر انصاری معیاری BBQ کے لیے ہمیشہ ایک اچھا آپشن
Amazing taste fried fish,حیرت انگیز ذائقہ تلی ہوئی مچھلی
I dont know about this,میں اس بارے میں نہیں جانتا
“She will soon get over these things,وہ جلد ہی ان چیزوں پر قابو پا لے گی۔
Steam Broast is too Good,بھاپ براسٹ بہت اچھا ہے۔
It was such a dull party,یہ ایک ایسی مدھم پارٹی تھی۔
I believe I see double,مجھے یقین ہے کہ میں ڈبل دیکھ رہا ہوں۔
and remember Thee abundantly,اور خوب تیرا چرچا کریں
Nice and fresh food,اچھا اور تازہ کھانا
He wants to explain something,وہ کچھ سمجھانا چاہتا ہے۔
Sauces spices and meet combination with ambience so fine,چٹنی مصالحے اور ماحول کے ساتھ مجموعہ بہت ٹھیک ہے
Are you ever going to get married again,کیا آپ شادی کبھی کریں گے؟
You havent got much to do have you,آپ کے پاس کرنے کو بہت کچھ نہیں ہے، ہے نا؟
Annette came to appreciate that fact,اینیٹ نے اس حقیقت کی تعریف کی۔
The food is delicious Good for school  college stags,کھانا مزیدار ہے اسکول  کالج کے اسٹیج کے لئے اچھا ہے۔
Good place to have Nihari and Bar B Q,نہاری اور بار بی کیو کے لیے اچھی جگہ
Beautiful Place for Traditional Food Lovers,روایتی کھانے سے محبت کرنے والوں کے لیے خوبصورت جگہ
Have become expensive than my last visit,میرے آخری دورے سے مہنگے ہو گئے ہیں۔
Average food price ambiance Good for people on a budget,اوسط خوراک، قیمت، ماحول۔ بجٹ میں لوگوں کے لیے اچھا ہے۔
Good place to eat with good quantity  quality,اچھی مقدار اور کوالٹی کے ساتھ کھانے کے لیے اچھی جگہ۔
I undertook it because it was what my captain had bade me do,میں نے یہ کام لیا کیونکہ میرے کپتان نے مجھے ایسا کرنے کے لیے کہا تھا۔
Food quality sitting place dealing and service very well,کھانے کا معیار، بیٹھنے کی جگہ، ڈیلنگ اور سروس بہت اچھی ہے۔
Where is the flask,فلاسک کہاں ہے؟
try expressing your feelings in a note,ایک نوٹ میں اپنے جذبات کا اظہار کرنے کی کوشش کریں۔
I have no other option,میرے پاس اور کوئی چارا نہیں۔
Vgood food especially the Malai boti kebabs and paratha,Vاچھا کھانا خاص طور پر ملائی بوٹیکباب اور پراٹھا۔
too far away,بہت دور ہے
"Barbeque
was good",باربیکیو اچھا تھا۔
Ambiance was good,ماحول اچھا تھا۔
"Good meal at afforable price
Average of 150 per person bill",مناسب قیمت پر اچھا کھانا اوسطاً 150 فی شخص بل۔
Need to improve,بہتر کرنے کی ضرورت ہے۔
Very bad,بہت برا
Ambiance was good food 1010 Love their masala dosa,ماحول اچھا تھا کھانا 1010 ان کے مسالہ ڈوسا سے پیار کریں
You ride a bicycle,آپ سائیکل چلاتے ہیں۔
Finest dinning with the best experience,بہترین تجربے کے ساتھ بہترین کھانا
you’re not alone Many youths abuse alcoholx0002,تم اکیلے نہیں ہو بہت سے نوجوان شراب کا غلط استعمال کرتے ہیں۔
Excellent atmosphere due to open roof Decent food,کھلی چھت کی وجہ سے بہترین ماحول۔ مہذب کھانا۔
Very expensive while quality of food and service is not good,بہت مہنگا جبکہ کھانے اور سروس کا معیار اچھا نہیں ہے۔
From last visit in 2018 to now 2022 drastic change in taste,2018 میں آخری دورے سے لے کر اب 2022 تک، ذائقہ میں زبردست تبدیلی
Never ever want to visit again and also will not recoment,کبھی بھی دوبارہ دورہ نہیں کرنا چاہتے اور دوبارہ بھی نہیں جائیں گے۔
It is not far to the police station,پولیس اسٹیشن زیادہ دور نہیں ہے۔
Nature is the best physician,قدرت بہترین طبیب ہے۔
What difference does it make,اس سے کیا  فرق پڑتا ہے؟
I left early,میں جلدی چلا گیا۔
They said turning towards them What is it that ye miss,1271وہ ان کی طرف متوجہ ہو کر کہنے لگے تمہاری کیا چیز کھوئی گئی ہے
Quick service beef Afghani boti is the best,فوری سروس، بیف افغانی بوٹی بہترین ہے۔
Awsum n tasty dinner,Awsum اور مزیدار رات کا کھانا
Okay,ٹھیک ہے،
Best Restaurant of SITE Area also Economical,سائٹ ایریا کا بہترین ریستوراں بھی اقتصادی
Food is delicious,کھانا مزیدار ہے۔
Its a new eatry near five star roundabout,یہ فائیو اسٹار راؤنڈ اباؤٹ کے قریب ایک نئی کھانے کی جگہ ہے۔
Nice place to visit,دیکھنے کے لیے اچھی جگہ ہے۔
Very nice place for dinner,رات کے کھانے کے لیے بہت اچھی جگہ
Best Restaurant  Friendly atmosphere,بہترین ریستوراں، دوستانہ ماحول
Researcher Lloyd Johnston found that teens who smoke are “,محقق لائیڈ جانسٹن نے پایا کہ سگریٹ نوشی کرنے والے نوعمر افراد
and that My chastisement is the painful chastisement,مگر اِس کے ساتھ میرا عذاب بھی نہایت دردناک عذاب ہے
Dantès saluted Villefort and retired,ڈینٹس نے ویلفورٹ کو سلام کیا اور ریٹائر ہو گئے۔
Awesome taste of all types of karahii,کراہی کی تمام اقسام کا لاجواب ذائقہ
Dont be formal,تکلف کی کوئی بات نہیں۔
“What was I saying I forget,میں کیا کہہ رہا تھا؟ میں بھول گیا
Delicious bbq,مزیدار bbq
He want to catch the bus,وہ بس پکڑنا چاہتا ہے۔
پیچھے ہٹنا۔
